d w z t
4 44 0 0
4 23 0 0
4 5 0 0
4 43 0 0
4 66 0 0
4 66 0 0
4 70 0 0
4 0 0 0
4 69 0 0
4 44 0 0
4 0 0 0
4 12 0 0
4 53 0 0
4 2 0 0
4 22 0 0
4 17 0 0
4 64 0 0
4 63 0 0
4 65 0 0
4 24 0 0
4 22 0 0
4 5 0 0
4 67 0 0
4 69 0 0
4 2 0 0
4 35 0 0
4 72 0 0
4 70 0 0
4 22 0 0
4 1 0 0
4 57 0 0
4 22 0 0
4 24 0 0
4 1 0 0
4 38 0 0
4 22 0 0
4 34 0 0
4 68 0 0
4 24 0 0
4 0 0 0
4 64 0 0
4 24 0 0
4 67 0 0
4 33 0 0
4 59 0 0
4 71 0 0
4 53 0 0
19 125 0 0
19 43 0 0
19 139 0 0
19 76 0 0
19 20 0 0
19 17 0 0
19 70 0 0
19 110 0 0
19 106 0 0
19 53 0 0
19 12 0 0
19 13 0 0
19 26 0 0
19 50 0 0
19 24 0 0
19 5 0 0
19 1 0 0
19 49 0 0
19 24 0 0
19 13 0 0
19 17 0 0
19 27 0 0
19 22 0 0
19 1 0 0
19 22 0 0
19 34 0 0
19 0 0 0
19 36 0 0
19 15 0 0
19 22 0 0
19 140 0 0
19 140 0 0
19 87 0 0
19 0 0 0
19 0 0 0
19 78 0 0
19 22 0 0
19 131 0 0
19 44 0 0
19 53 0 0
19 141 0 0
19 5 0 0
19 49 0 0
19 22 0 0
19 37 0 0
19 94 0 0
19 22 0 0
19 1 0 0
19 141 0 0
19 53 0 0
19 44 0 0
19 24 0 0
19 63 0 0
19 5 0 0
19 22 0 0
19 34 0 0
19 38 0 0
19 16 0 0
19 94 0 0
19 22 0 0
19 60 0 0
9 22 1 0
9 44 1 0
9 43 1 0
9 35 1 0
9 47 1 0
9 42 1 0
9 22 1 0
9 94 1 0
9 22 1 0
9 29 1 0
9 35 1 0
9 35 1 0
9 29 1 0
9 111 1 0
9 44 1 0
9 105 1 0
9 111 1 0
9 50 1 0
9 108 1 0
9 31 1 0
9 108 1 0
9 104 1 0
9 24 1 0
9 106 1 0
9 0 1 0
9 103 1 0
9 110 1 0
9 24 1 0
9 36 1 0
9 112 1 0
9 30 1 0
9 109 1 0
9 103 1 0
9 102 1 0
9 0 1 0
9 9 1 0
9 38 1 0
9 24 1 0
9 22 1 0
9 104 1 0
9 1 1 0
9 24 1 0
9 102 1 0
9 107 1 0
9 112 1 0
9 2 1 0
9 1 1 0
9 12 1 0
13 0 0 0
13 101 0 0
13 24 0 0
13 24 0 0
13 6 0 0
13 12 0 0
13 11 0 0
13 127 0 0
13 14 0 0
13 16 0 0
13 30 0 0
13 1 0 0
13 22 0 0
13 10 0 0
13 26 0 0
13 5 0 0
13 31 0 0
13 12 0 0
13 29 0 0
13 68 0 0
13 109 0 0
13 12 0 0
13 35 0 0
13 27 0 0
13 24 0 0
13 52 0 0
13 7 0 0
13 26 0 0
13 30 0 0
13 29 0 0
13 48 0 0
13 29 0 0
13 31 0 0
13 29 0 0
13 0 0 0
13 114 0 0
13 58 0 0
13 9 0 0
13 30 0 0
13 35 0 0
13 66 0 0
13 0 0 0
13 1 0 0
13 100 0 0
13 22 0 0
13 26 0 0
13 1 0 0
13 1 0 0
13 48 0 0
13 127 0 0
13 13 0 0
13 45 0 0
13 52 0 0
13 54 0 0
13 45 0 0
13 113 0 0
13 116 0 0
13 128 0 0
13 0 0 0
13 0 0 0
17 124 2 0
17 11 0 1
17 1 0 1
17 124 2 0
17 13 0 1
17 2 0 1
17 2 0 1
17 4 2 0
17 80 2 0
17 121 2 0
17 9 2 0
17 138 2 0
17 86 2 0
17 9 2 0
17 136 2 0
17 128 2 0
17 35 2 0
17 24 0 1
17 135 2 0
17 79 0 1
17 22 0 1
17 136 2 0
17 61 0 1
17 9 2 0
17 22 2 0
17 1 2 0
17 8 2 0
17 4 2 0
17 122 2 0
17 22 2 0
17 57 2 0
17 115 2 0
17 135 2 0
17 134 2 0
17 138 2 0
17 35 2 0
17 134 2 0
17 137 2 0
17 115 2 0
17 135 2 0
17 137 2 0
17 57 2 0
17 1 0 1
17 44 0 1
17 10 2 0
17 52 2 0
17 122 2 0
17 0 0 1
12 125 0 0
12 22 0 0
12 10 0 0
12 121 0 0
12 22 0 0
12 22 0 0
12 118 0 0
12 109 0 0
12 43 0 0
12 1 0 0
12 53 0 0
12 0 0 0
12 79 0 0
12 66 0 0
12 24 0 0
12 122 0 0
12 119 0 0
12 123 0 0
12 119 0 0
12 109 0 0
12 117 0 0
12 37 0 0
12 44 0 0
12 35 0 0
12 22 0 0
12 93 0 0
12 50 0 0
12 0 0 0
12 82 0 0
12 1 0 0
12 16 0 0
12 124 0 0
12 0 0 0
12 43 0 0
12 59 0 0
12 24 0 0
12 110 0 0
12 16 0 0
12 3 0 0
12 22 0 0
12 27 0 0
12 22 0 0
12 0 0 0
12 22 0 0
12 74 0 0
12 120 0 0
12 82 0 0
12 57 0 0
12 1 0 0
12 12 0 0
12 123 0 0
12 126 0 0
12 1 0 0
12 83 0 0
12 120 0 0
12 117 0 0
12 119 0 0
12 65 0 0
12 13 0 0
12 1 0 0
3 1 0 0
3 62 0 0
3 2 0 1
3 61 0 1
3 7 0 1
3 1 0 0
3 22 0 1
3 38 0 1
3 24 0 0
3 60 0 1
3 22 0 1
3 12 0 1
3 9 0 1
3 12 0 0
3 44 0 0
3 44 0 1
3 22 0 1
3 9 0 0
3 59 0 1
3 22 0 1
3 32 0 1
5 77 0 1
5 78 3 0
5 48 3 0
5 34 3 0
5 50 3 0
5 74 3 0
5 1 0 1
5 31 3 0
5 2 0 1
5 0 0 1
5 83 0 1
5 40 3 0
5 44 0 1
5 82 3 0
5 29 0 1
5 73 3 0
5 34 3 0
5 30 3 0
5 24 0 1
5 80 3 0
5 30 3 0
5 54 3 0
5 73 3 0
5 31 3 0
5 30 0 1
5 0 0 1
5 45 3 0
5 73 3 0
5 1 0 1
5 37 0 1
5 14 3 0
5 1 0 1
5 29 0 1
5 75 0 1
5 2 0 1
5 40 3 0
5 1 3 0
5 34 3 0
5 22 0 1
5 24 0 1
5 73 3 0
5 31 3 0
5 26 3 0
5 45 3 0
5 12 3 0
5 28 3 0
5 20 0 1
5 81 3 0
5 29 3 0
5 79 0 1
5 58 3 0
5 9 0 1
5 16 0 1
5 30 0 1
5 11 3 0
5 6 3 0
5 57 0 1
5 76 3 0
5 17 3 0
5 29 0 1
5 48 3 0
5 31 3 0
5 84 3 0
5 79 0 1
5 85 0 1
5 84 0 1
5 22 0 1
5 78 3 0
5 24 0 1
7 5 0 0
7 34 0 0
7 16 0 0
7 98 0 0
7 1 0 0
7 89 0 0
7 75 0 0
7 22 0 0
7 57 0 0
7 97 0 0
7 73 0 0
7 99 0 0
7 0 0 0
7 13 0 0
7 88 0 0
7 0 0 0
7 57 0 0
7 16 0 0
7 93 0 0
7 35 0 0
7 0 0 0
7 59 0 0
7 66 0 0
7 22 0 0
7 41 0 0
7 22 0 0
7 0 0 0
7 5 0 0
7 98 0 0
7 96 0 0
7 16 0 0
7 44 0 0
7 24 0 0
7 92 0 0
7 59 0 0
7 22 0 0
7 12 0 0
7 57 0 0
7 94 0 0
7 46 0 0
7 95 0 0
7 89 0 0
7 89 0 0
7 22 0 0
7 20 0 0
7 18 0 0
7 92 0 0
7 57 0 0
7 44 0 0
7 1 0 0
7 12 0 0
7 13 0 0
7 5 0 0
7 22 0 0
7 24 0 0
0 26 0 0
0 2 0 0
0 18 0 0
0 1 0 0
0 31 0 0
0 27 0 0
0 19 0 0
0 9 0 0
0 5 0 0
0 0 0 0
0 0 0 0
0 4 0 0
0 22 0 0
0 16 0 0
0 22 0 0
0 29 0 0
0 24 0 0
0 24 0 0
0 0 0 0
0 21 0 0
0 3 0 0
0 30 0 0
0 28 0 0
0 7 0 0
0 12 0 0
0 10 0 0
0 22 0 0
0 20 0 0
0 26 0 0
0 23 0 0
0 24 0 0
0 1 0 0
0 10 0 0
0 15 0 0
0 0 0 0
0 17 0 0
0 0 0 0
0 0 0 0
0 13 0 0
0 22 0 0
0 11 0 0
0 6 0 0
0 5 0 0
0 25 0 0
0 8 0 0
0 16 0 0
0 14 0 0
0 24 0 0
11 1 0 0
11 22 0 0
11 91 0 0
11 45 0 0
11 82 0 0
11 30 0 0
11 31 0 0
11 37 0 0
11 105 0 0
11 44 0 0
11 0 0 0
11 0 0 0
11 114 0 0
11 54 0 0
11 32 0 0
11 74 0 0
11 24 0 0
11 35 0 0
11 22 0 0
11 29 0 0
11 24 0 0
11 0 0 0
11 30 0 0
11 87 0 0
11 1 0 0
11 31 0 0
11 44 0 0
11 66 0 0
11 12 0 0
11 33 0 0
11 43 0 0
11 19 0 0
11 1 0 0
11 22 0 0
11 2 0 0
11 115 0 0
11 17 0 0
11 22 0 0
11 44 0 0
11 47 0 0
11 99 0 0
11 24 0 0
11 116 0 0
11 9 0 0
11 79 0 0
11 24 0 0
11 5 0 0
11 80 0 0
11 22 0 0
11 1 0 0
10 0 0 1
10 37 0 1
10 66 0 1
10 113 0 1
10 1 0 1
10 24 0 1
10 97 0 1
10 1 0 1
10 22 0 1
10 22 0 0
10 27 0 1
10 2 0 1
10 0 0 1
10 57 0 1
10 35 0 1
10 44 0 1
10 85 0 1
10 98 0 1
10 33 0 1
10 24 0 1
10 77 0 0
10 103 0 1
10 22 0 1
10 98 0 1
16 57 0 0
16 1 0 0
16 36 0 0
16 23 0 0
16 133 0 0
16 1 0 0
16 2 0 0
16 71 0 0
16 130 0 0
16 130 0 0
16 49 0 0
16 24 0 0
16 9 0 0
16 1 0 0
16 133 0 0
16 16 0 0
16 53 0 0
16 64 0 0
16 0 0 0
16 126 0 0
16 0 0 0
16 24 0 0
16 88 0 0
16 44 0 0
16 132 0 0
16 0 0 0
16 95 0 0
16 1 0 0
16 24 0 0
16 47 0 0
16 11 0 0
16 2 0 0
16 35 0 0
16 107 0 0
16 21 0 0
16 44 0 0
16 57 0 0
16 34 0 0
16 36 0 0
16 34 0 0
16 44 0 0
16 87 0 0
16 35 0 0
16 132 0 0
16 131 0 0
16 119 0 0
16 16 0 0
16 22 0 0
2 52 0 0
2 56 0 0
2 54 0 0
2 57 0 0
2 35 0 0
2 1 0 0
2 53 0 0
2 16 0 0
2 58 0 0
2 12 0 0
2 55 0 0
2 13 0 0
2 24 0 0
2 0 0 0
2 44 0 0
2 1 0 0
2 22 0 0
1 44 0 1
1 38 0 1
1 51 0 1
1 23 0 0
1 46 0 1
1 45 0 1
1 48 0 1
1 42 0 1
1 11 0 1
1 39 0 2
1 36 0 1
1 33 0 1
1 22 0 1
1 50 0 1
1 20 0 1
1 1 0 1
1 1 0 1
1 24 0 1
1 0 0 1
1 1 0 1
1 24 0 1
1 35 0 1
1 34 0 1
1 29 0 1
1 40 0 1
1 32 0 1
1 0 0 1
1 13 0 1
1 29 0 0
1 29 0 1
1 47 0 1
1 1 0 1
1 5 0 1
1 29 0 1
1 44 0 1
1 38 0 1
1 1 0 1
1 35 0 1
1 49 0 1
1 20 0 1
1 43 0 1
1 22 0 1
1 37 0 1
1 16 0 0
1 45 0 1
1 24 0 1
1 1 0 1
1 22 0 1
1 22 0 1
1 41 0 1
1 0 0 1
6 67 0 0
6 2 0 0
6 28 0 0
6 88 0 0
6 91 0 0
6 10 0 0
6 1 0 0
6 17 0 0
6 64 0 0
6 24 0 0
6 24 0 0
6 1 0 0
6 2 0 0
6 33 0 0
6 10 0 0
6 0 0 0
6 17 0 0
6 27 0 0
6 1 0 0
6 22 0 0
6 9 0 0
6 35 0 0
6 79 0 0
6 90 0 0
6 88 0 0
6 83 0 0
6 44 0 0
6 51 0 0
6 87 0 0
6 86 0 0
6 24 0 0
6 12 0 0
6 22 0 0
6 73 0 0
6 10 0 0
6 24 0 0
6 22 0 0
6 89 0 0
6 67 0 0
6 13 0 0
6 35 0 0
14 22 1 0
14 36 1 0
14 36 0 1
14 31 0 1
14 114 1 0
14 30 1 0
14 31 1 0
14 6 0 1
14 82 0 1
14 114 1 0
14 44 0 1
14 1 1 0
14 30 1 0
14 129 1 0
14 70 1 0
14 111 1 0
14 129 1 0
14 70 1 0
14 44 0 1
14 22 0 1
15 39 0 1
15 16 0 0
15 24 0 1
15 13 0 1
15 0 0 1
15 34 0 1
15 83 0 1
15 1 0 1
15 24 0 1
15 44 0 1
15 53 0 1
15 1 0 1
15 26 0 1
15 28 0 0
15 26 0 1
15 35 0 1
15 22 0 1
15 2 0 1
15 2 0 1
8 22 0 0
8 98 0 0
8 25 0 0
8 53 0 0
8 0 0 0
8 24 0 0
8 1 0 0
8 79 0 0
8 35 0 0
8 83 0 0
8 24 0 0
8 90 0 0
8 22 0 0
8 1 0 0
8 87 0 0
8 101 0 0
8 28 0 0
8 0 0 0
8 0 0 0
8 22 0 0
8 27 0 0
8 72 0 0
8 2 0 0
8 56 0 0
8 5 0 0
8 72 0 0
8 56 0 0
8 66 0 0
8 28 0 0
8 81 0 0
8 22 0 0
8 0 0 0
8 35 0 0
8 0 0 0
8 100 0 0
8 55 0 0
8 10 0 0
8 65 0 0
8 29 0 0
8 16 0 0
8 54 0 0
8 0 0 0
8 24 0 0
8 44 0 0
8 9 0 0
18 22 0 0
18 36 0 0
18 13 0 0
18 24 0 0
18 38 0 0
18 45 0 0
18 45 0 0
18 22 0 0
18 35 0 0
18 125 0 0
18 57 0 0
18 46 0 0
18 44 0 0
18 0 0 0
18 29 0 0
18 70 0 0
18 29 0 0
18 2 0 0
18 1 0 0
18 1 0 0
18 139 0 0
18 111 0 0
18 0 0 0
18 24 0 0
18 95 0 0
18 22 0 0
18 70 0 0
18 66 0 0
18 12 0 0
18 62 0 0
18 1 0 0
18 22 0 0
18 118 0 0
18 3 0 0
18 98 0 0
18 16 0 0
18 44 0 0
18 7 0 0
18 96 0 0
