d w z t
7 40 0 0
7 1 1 1
7 48 0 0
7 54 0 0
7 40 0 0
7 2 0 0
7 117 1 1
7 71 0 0
7 107 0 0
7 13 1 1
7 116 1 1
7 30 1 1
7 29 0 0
7 101 0 0
7 3 1 1
7 2 1 1
7 105 0 0
7 43 0 0
7 18 0 0
7 24 0 0
7 29 0 0
7 27 1 1
7 68 0 0
7 111 0 0
7 0 0 0
7 24 1 1
7 13 1 1
16 84 1 0
16 46 1 0
16 13 1 0
16 53 1 0
16 2 1 0
16 57 1 0
16 48 1 0
16 29 1 0
16 39 1 0
16 145 1 0
16 20 1 0
16 24 1 0
16 62 1 0
16 3 1 0
16 2 1 0
16 61 1 0
16 124 1 0
16 14 1 0
16 30 1 0
16 149 1 0
16 1 1 0
16 100 1 0
16 57 1 0
16 20 1 0
16 24 1 0
16 67 1 0
16 122 1 0
16 0 1 0
16 30 1 0
16 73 1 0
16 0 1 0
16 98 1 0
16 20 2 1
16 53 1 0
16 31 1 0
16 0 1 0
16 130 2 1
14 20 1 0
14 20 1 0
14 49 3 1
14 146 1 0
14 114 1 0
14 34 3 1
14 148 1 0
14 0 1 0
14 20 1 0
14 57 1 0
14 104 1 0
14 0 1 0
14 47 1 0
14 2 1 0
14 88 1 0
14 81 3 1
14 63 1 0
14 81 3 1
14 36 3 1
14 70 3 1
14 19 1 0
14 147 3 1
14 44 3 1
14 57 3 1
14 109 3 1
14 3 1 0
14 10 1 0
14 97 3 1
14 65 3 1
14 61 1 0
14 81 3 1
14 77 3 1
14 33 3 1
14 24 1 0
14 1 1 0
14 108 3 1
14 107 3 1
14 75 1 0
14 84 3 1
14 20 1 0
14 1 1 0
14 81 3 1
14 70 3 1
14 19 1 0
14 19 1 0
14 24 1 0
14 129 3 1
14 115 1 0
14 53 1 0
14 147 3 1
14 81 3 1
14 2 1 0
14 122 1 0
14 105 1 0
14 0 1 0
11 1 2 0
11 138 2 0
11 140 1 1
11 30 1 1
11 138 2 0
11 20 1 1
11 20 1 1
11 3 1 1
11 38 2 0
11 24 1 1
11 20 1 1
11 61 1 1
11 10 1 1
11 61 1 1
11 137 2 0
11 10 1 1
11 31 2 0
11 20 2 0
11 20 1 1
11 136 2 0
11 0 1 1
11 139 2 0
11 15 1 1
11 43 2 0
11 20 2 0
11 31 1 1
11 92 2 0
11 20 1 1
11 135 2 0
11 133 1 1
11 136 2 0
11 20 1 1
11 122 1 1
11 37 2 0
11 38 2 0
11 134 2 0
11 1 1 1
11 0 1 1
11 95 2 0
11 10 1 1
11 37 2 0
11 132 2 0
11 134 2 0
11 20 1 1
11 1 1 1
11 20 1 1
11 30 1 1
0 11 1 0
0 20 1 0
0 9 1 0
0 20 1 0
0 10 1 0
0 2 1 0
0 13 1 0
0 20 1 0
0 17 1 0
0 14 1 0
0 26 1 0
0 0 1 0
0 15 1 0
0 16 1 0
0 19 1 0
0 21 1 0
0 6 1 0
0 1 1 0
0 24 1 0
0 22 1 0
0 13 1 0
0 29 1 0
0 0 1 0
0 25 1 0
0 18 1 0
0 11 1 0
0 1 1 0
0 1 1 0
0 8 1 0
0 10 1 0
0 8 1 0
0 0 1 0
0 4 1 0
0 12 1 0
0 20 1 0
0 3 1 0
0 5 1 0
0 7 1 0
0 28 1 0
0 20 1 0
0 22 1 0
0 23 1 0
0 1 1 0
0 27 1 0
0 26 1 0
0 0 1 0
0 1 1 0
9 1 1 0
9 2 1 0
9 44 1 0
9 98 1 0
9 81 1 0
9 58 1 0
9 123 1 0
9 20 1 0
9 20 1 0
9 30 1 0
9 87 1 0
9 53 1 0
9 10 1 0
9 127 1 0
9 0 1 0
9 118 1 0
9 5 1 0
9 128 1 0
9 31 1 0
9 0 1 0
9 20 1 0
9 0 1 0
9 19 1 0
9 0 1 0
9 126 1 0
9 30 1 0
9 63 1 0
9 122 1 0
9 30 1 0
9 20 1 0
9 20 1 0
9 1 1 0
9 20 1 0
9 58 1 0
9 20 1 0
9 114 1 0
9 1 1 0
9 124 1 0
9 19 1 0
9 125 1 0
9 0 1 0
9 24 1 0
9 2 1 0
9 53 1 0
9 103 1 0
9 4 1 0
9 63 1 0
9 0 1 0
9 63 1 0
2 50 0 0
2 48 0 0
2 0 0 0
2 19 1 1
2 24 0 0
2 29 0 0
2 20 1 1
2 30 1 1
2 18 0 0
2 11 1 1
2 29 0 0
2 1 0 0
2 37 1 1
2 0 1 1
2 44 0 0
2 2 1 1
2 46 0 0
2 30 1 1
2 49 0 0
2 2 0 0
2 53 0 0
2 0 0 0
2 38 0 0
2 3 0 0
2 54 0 0
2 18 0 0
2 52 0 0
2 0 0 0
2 47 0 0
2 29 0 0
2 53 0 0
2 39 1 1
2 51 0 0
2 43 0 0
2 55 0 0
2 41 1 1
2 0 0 0
2 40 0 0
2 40 0 0
2 45 0 0
2 42 0 0
10 55 0 0
10 40 0 0
10 1 0 0
10 54 0 0
10 20 0 0
10 55 0 0
10 99 0 0
10 54 0 0
10 56 0 0
10 0 0 0
10 0 0 0
10 90 0 0
10 26 0 0
10 107 0 0
10 1 0 0
10 71 0 0
10 103 0 0
10 80 0 0
10 129 0 0
10 130 0 0
10 68 0 0
10 121 0 0
10 29 0 0
10 20 0 0
10 0 0 0
10 97 0 0
10 118 0 0
10 32 0 0
10 99 0 0
10 131 0 0
10 71 0 0
10 2 0 0
10 36 0 0
10 24 0 0
10 83 0 0
10 54 0 0
10 1 0 0
10 101 0 0
10 60 0 0
10 29 0 0
10 24 0 0
10 53 0 0
10 55 0 0
10 61 0 0
10 55 0 0
10 57 0 0
10 54 0 0
10 50 0 0
10 20 0 0
10 131 0 0
1 31 1 0
1 3 1 0
1 30 1 0
1 0 1 0
1 20 1 0
1 13 1 0
1 20 1 0
1 30 1 0
1 1 1 0
1 34 1 0
1 20 1 0
1 35 1 0
1 32 1 0
1 33 1 0
1 36 1 0
1 19 1 0
4 7 1 0
4 72 3 1
4 0 1 0
4 79 1 0
4 73 3 1
4 82 1 0
4 77 3 1
4 75 3 1
4 3 1 0
4 30 1 0
4 11 1 0
4 27 1 0
4 46 1 0
4 24 1 0
4 20 1 0
4 31 1 0
4 10 1 0
4 74 1 0
4 48 1 0
4 80 3 1
4 39 1 0
4 24 1 0
4 81 3 1
4 1 1 0
4 1 1 0
4 30 1 0
4 64 1 0
4 78 3 1
4 2 1 0
4 13 1 0
4 29 3 1
4 19 1 0
4 20 1 0
4 20 1 0
4 20 1 0
4 0 1 0
4 71 3 1
4 76 3 1
4 1 1 0
4 48 3 1
4 29 1 0
4 77 3 1
5 83 0 0
5 20 0 0
5 30 0 0
5 54 0 0
5 55 0 0
5 90 0 0
5 85 0 0
5 48 0 0
5 18 0 0
5 97 0 0
5 18 0 0
5 100 1 1
5 2 0 0
5 26 0 0
5 19 0 0
5 92 0 0
5 12 0 0
5 43 0 0
5 98 0 0
5 94 0 0
5 40 0 0
5 32 0 0
5 99 0 0
5 2 0 0
5 0 0 0
5 20 0 0
5 83 0 0
5 24 0 0
5 54 0 0
5 84 0 0
5 16 0 0
5 84 0 0
5 1 0 0
5 91 0 0
5 1 0 0
5 29 0 0
5 96 0 0
5 86 0 0
5 58 0 0
5 55 0 0
5 1 0 0
5 60 0 0
5 55 0 0
5 10 0 0
5 54 0 0
5 29 0 0
5 24 0 0
5 55 0 0
5 53 0 0
5 90 0 0
5 88 0 0
5 40 0 0
5 84 0 0
5 99 0 0
5 22 0 0
5 0 0 0
5 83 0 0
5 48 0 0
5 31 0 0
5 93 0 0
5 87 0 0
5 29 0 0
5 29 0 0
5 12 0 0
5 24 1 1
5 83 0 0
5 95 0 0
5 54 0 0
5 89 0 0
5 1 0 0
15 16 1 0
15 19 1 0
15 116 1 0
15 20 1 0
15 4 1 0
15 98 1 0
15 24 1 0
15 52 1 0
15 92 1 0
15 2 1 0
15 0 1 0
15 1 1 0
15 48 1 0
15 24 1 0
15 48 1 0
15 4 1 0
15 37 1 0
15 1 1 0
15 93 1 0
15 3 1 0
15 13 1 0
15 2 1 0
15 101 1 0
15 31 1 0
15 1 1 0
15 75 1 0
15 38 1 0
15 148 1 0
15 0 1 0
15 13 1 0
15 39 1 0
15 123 1 0
15 24 1 0
15 120 1 0
15 2 1 0
15 29 1 0
15 19 1 0
15 20 1 0
15 114 1 0
15 29 1 0
15 123 1 0
15 98 1 0
15 0 1 0
15 149 1 0
15 2 1 0
15 24 1 0
15 1 1 0
19 128 1 0
19 46 1 0
19 74 1 0
19 20 1 0
19 41 1 0
19 40 0 1
19 0 1 0
19 1 1 0
19 61 1 0
19 1 1 0
19 20 1 0
19 75 1 0
19 30 1 0
19 24 1 0
19 66 1 0
19 19 1 0
19 20 1 0
19 1 1 0
19 151 1 0
19 7 1 0
19 93 1 0
19 40 1 0
19 20 1 0
19 2 1 0
19 41 1 0
19 151 1 0
19 3 1 0
19 1 1 0
19 20 1 0
19 94 1 0
19 43 1 0
19 53 1 0
19 57 1 0
19 20 1 0
19 104 1 0
19 41 1 0
19 36 1 0
19 10 1 0
19 142 1 0
13 1 1 1
13 84 1 1
13 20 1 1
13 10 2 0
13 20 1 1
13 132 2 0
13 0 1 1
13 20 1 1
13 142 1 1
13 43 2 0
13 136 2 0
13 98 1 1
13 24 1 1
13 133 2 0
13 139 2 0
13 57 1 1
13 144 2 0
13 145 2 0
13 20 1 1
13 30 1 1
13 19 1 1
13 134 2 0
13 16 1 1
13 132 2 0
13 135 2 0
13 20 1 1
13 20 1 1
13 127 2 0
13 3 1 1
13 30 1 1
13 136 2 0
13 13 1 1
13 20 1 1
6 106 0 0
6 19 1 1
6 20 1 1
6 112 0 0
6 17 0 0
6 2 1 1
6 3 0 0
6 3 0 0
6 55 0 0
6 57 1 1
6 101 0 0
6 99 0 0
6 106 0 0
6 24 0 0
6 40 0 0
6 114 0 0
6 7 1 1
6 109 0 0
6 103 0 0
6 113 0 0
6 30 0 0
6 40 0 0
6 108 0 0
6 2 0 0
6 110 0 0
6 90 0 0
6 44 0 0
6 74 1 1
6 99 0 0
6 24 0 0
6 1 0 0
6 20 0 0
6 89 0 0
6 115 0 0
6 72 0 0
6 18 0 0
6 1 0 0
6 45 0 0
6 0 0 0
6 20 1 1
6 19 0 0
6 9 1 1
6 1 0 0
6 10 0 0
6 0 0 0
6 29 0 0
6 55 0 0
6 99 0 0
6 94 0 0
6 96 0 0
6 3 0 0
6 30 0 0
6 54 0 0
6 29 0 0
6 107 0 0
6 57 0 0
6 40 0 0
6 104 0 0
6 91 0 0
6 110 0 0
6 102 0 0
6 29 0 0
6 66 0 0
6 31 0 0
6 0 0 0
6 98 1 1
6 97 0 0
6 102 1 1
6 10 1 1
6 3 0 0
6 0 0 0
6 105 0 0
6 113 0 0
6 43 0 0
6 20 1 1
6 112 0 0
6 111 0 0
6 18 0 0
6 40 0 0
6 101 0 0
6 20 0 0
6 111 0 0
6 2 0 0
17 0 1 0
17 150 1 0
17 58 1 0
17 59 1 0
17 23 1 0
17 0 1 0
17 1 1 0
17 122 1 0
17 10 1 0
17 85 1 0
17 10 1 0
17 21 1 0
17 143 1 0
17 20 1 0
17 63 1 0
17 30 1 0
17 25 1 0
17 22 1 0
17 150 1 0
17 63 1 0
17 0 1 0
17 19 1 0
17 10 1 0
17 53 1 0
17 121 1 0
17 11 1 0
17 3 1 0
17 20 1 0
17 1 1 0
17 119 1 0
17 3 1 0
17 51 1 0
17 63 1 0
17 2 1 0
17 7 1 0
17 1 1 0
17 6 1 0
3 63 1 0
3 57 1 0
3 69 1 0
3 20 1 0
3 22 1 0
3 10 0 2
3 19 1 0
3 3 0 1
3 70 0 1
3 31 0 2
3 20 1 0
3 55 0 1
3 54 0 1
3 35 0 1
3 0 1 0
3 0 1 0
3 20 1 0
3 39 1 0
3 0 1 0
3 58 1 0
3 65 1 0
3 1 1 0
3 70 0 1
3 0 1 0
3 66 1 0
3 10 0 1
3 61 0 1
