d w z t
11 1 0 0
11 25 0 0
11 129 0 0
11 14 0 0
11 76 0 0
11 12 0 0
11 14 0 0
11 3 0 0
11 88 0 0
11 46 0 0
11 24 0 0
11 14 0 0
11 2 0 0
11 40 0 0
11 135 0 0
11 57 0 0
11 2 0 0
11 25 0 0
11 14 0 0
11 1 0 0
11 134 0 0
11 48 0 0
11 1 0 0
11 17 0 0
11 66 1 1
11 84 0 0
11 44 0 0
11 116 0 0
11 136 0 0
11 113 0 0
11 31 0 0
11 122 0 0
11 18 0 0
11 1 0 0
11 15 0 0
11 137 0 0
11 21 0 0
11 47 0 0
11 90 0 0
11 61 0 0
11 2 0 0
11 4 0 0
10 88 0 0
10 1 1 1
10 22 0 0
10 21 0 0
10 17 0 0
10 42 0 0
10 14 0 0
10 2 0 0
10 16 0 0
10 121 1 1
10 31 0 0
10 70 0 0
10 37 0 0
10 21 0 0
10 40 0 0
10 37 0 0
10 20 0 0
10 57 0 0
10 133 0 0
10 20 0 0
10 38 0 0
10 12 0 0
10 1 0 0
10 14 0 0
10 40 0 0
10 112 0 0
10 115 0 0
10 14 0 0
10 99 0 0
10 14 0 0
10 89 0 0
10 1 0 0
10 4 0 0
10 12 0 0
10 23 0 0
10 2 0 0
10 84 0 0
10 65 0 0
14 52 0 0
14 41 0 0
14 44 0 0
14 146 0 0
14 21 0 0
14 1 0 0
14 54 0 0
14 88 0 0
14 21 0 0
14 145 0 0
14 145 0 0
14 128 0 0
14 2 0 0
14 71 0 0
14 20 0 0
14 22 0 0
14 147 0 0
14 32 0 0
14 12 0 0
14 71 0 0
14 54 0 0
14 37 0 0
14 13 0 0
14 99 0 0
14 24 0 0
14 88 0 0
14 23 0 0
14 1 0 0
14 147 0 0
14 65 0 0
14 1 0 0
14 2 0 0
14 149 0 0
14 148 0 0
14 119 0 0
14 121 0 0
14 104 0 0
14 20 0 0
14 47 0 0
14 17 0 0
14 128 0 0
14 2 0 0
14 54 0 0
14 40 0 0
14 44 0 0
14 148 0 0
14 1 0 0
14 40 0 0
14 140 0 0
14 2 0 0
14 17 0 0
14 1 0 0
14 14 0 0
8 14 0 0
8 21 0 0
8 47 0 0
