d w z t
9 0 1 0
9 32 1 0
9 10 1 0
9 61 1 0
9 3 1 0
9 75 1 0
9 113 1 0
9 117 1 0
9 115 1 0
9 116 1 0
9 114 1 0
9 17 1 0
9 44 1 0
9 0 1 0
9 1 1 0
9 90 1 0
9 58 1 0
9 118 1 0
9 118 1 0
9 47 1 0
9 100 1 0
9 62 1 0
9 57 1 0
9 63 1 0
9 65 1 0
9 102 1 0
9 116 1 0
9 11 1 0
9 0 1 0
9 6 1 0
9 58 1 0
9 65 1 0
9 25 1 0
9 61 1 0
9 119 1 0
9 0 1 0
9 55 1 0
9 112 1 0
9 104 1 0
9 80 1 0
9 0 1 0
9 89 1 0
9 1 1 0
9 100 1 0
9 48 1 0
9 2 1 0
9 17 1 0
9 48 1 0
19 99 0 0
19 135 0 0
19 0 0 0
19 1 0 0
19 17 0 0
19 71 0 0
19 17 0 0
19 103 0 0
19 0 0 0
19 73 0 0
19 1 0 0
19 17 0 0
19 124 0 1
19 27 0 0
19 106 0 1
19 130 0 0
19 139 0 0
19 9 0 0
19 14 0 0
19 139 0 0
19 40 0 0
19 0 0 0
19 3 0 0
19 4 0 0
19 2 0 0
19 0 0 0
19 48 0 0
19 98 0 0
19 133 0 0
11 19 0 0
11 30 0 0
11 106 0 0
11 3 0 0
11 48 0 0
11 73 0 0
11 20 0 0
11 17 0 0
11 17 0 0
11 104 0 0
11 17 0 0
11 0 0 0
11 1 0 0
11 83 0 0
11 124 0 0
11 123 0 0
11 2 0 0
11 114 0 0
11 1 0 0
11 0 0 0
11 2 0 0
11 126 0 0
11 68 0 0
11 12 0 0
11 120 0 0
11 12 0 0
11 88 0 0
11 32 0 0
11 125 0 0
11 12 0 0
11 0 0 0
11 0 0 0
14 61 1 0
14 17 1 0
14 61 1 0
14 101 1 0
14 12 1 0
14 3 1 0
14 14 1 0
14 1 1 0
14 77 1 0
14 8 1 0
14 125 1 0
14 133 1 0
14 12 1 0
14 132 1 0
14 67 1 0
14 106 1 0
14 10 1 0
14 41 1 0
14 1 1 0
14 12 1 0
14 127 1 0
14 1 1 0
14 3 1 0
14 48 1 0
14 58 1 0
14 130 1 0
14 0 1 0
14 3 1 0
14 17 1 0
14 0 1 0
14 47 1 0
14 65 1 0
14 129 1 0
14 100 1 0
14 2 1 0
14 106 1 0
14 17 1 0
14 131 1 0
14 41 1 0
14 131 1 0
14 89 1 0
14 56 1 0
14 41 1 0
14 115 1 0
14 116 1 0
14 95 1 0
14 40 1 0
14 69 1 0
14 9 1 0
7 102 0 0
7 0 0 0
7 79 2 1
7 3 0 0
7 35 2 1
7 103 0 0
7 92 2 1
7 0 0 0
7 17 2 1
7 44 2 1
